Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
296,3,3/13/13,6562,928,1,0,0,0,a,c,33060,3,2010,0,NA,NA,
713,4,4/17/14,10915,926,1,1,0,0,d,c,32330,3,2014,0,NA,NA,
516,2,2/19/13,6272,486,1,1,0,0,d,c,32330,3,2014,0,NA,NA,
444,7,11/10/13,0,0,0,0,0,0,d,c,32330,3,2014,0,NA,NA,
496,6,1/5/13,5152,485,1,0,0,0,d,c,32330,3,2014,0,NA,NA,
26,6,3/28/15,5506,475,1,0,0,0,d,c,32330,3,2014,0,NA,NA,
803,6,9/28/13,4678,458,1,0,0,0,d,c,32330,3,2014,0,NA,NA,
347,6,7/18/15,4632,426,1,0,0,0,d,c,32330,3,2014,0,NA,NA,
88,7,4/27/14,0,0,0,0,0,0,d,c,32240,3,2010,0,NA,NA,
132,1,11/25/13,6910,640,1,0,0,0,d,c,32240,3,2010,0,NA,NA,
564,5,1/18/13,5069,554,1,0,0,0,d,c,32240,3,2010,0,NA,NA,
219,7,2/22/15,0,0,0,0,0,0,d,c,32240,3,2010,0,NA,NA,
982,7,6/23/13,0,0,0,0,0,0,d,c,32240,3,2010,0,NA,NA,
347,5,12/26/14,0,0,0,0,c,1,d,c,32240,3,2010,0,NA,NA,
715,5,3/8/13,7317,673,1,1,0,0,d,c,32240,3,2010,0,NA,NA,
785,7,3/23/14,0,0,0,0,0,0,d,c,32240,3,2010,0,NA,NA,
402,2,7/7/15,6837,689,1,0,0,0,c,c,31830,3,2010,0,NA,NA,
728,4,2/26/15,7813,769,1,0,0,0,c,c,31830,3,2010,0,NA,NA,
949,2,6/23/15,5346,624,1,0,0,0,c,c,31830,3,2010,0,NA,NA,
724,4,9/5/13,5905,647,1,0,0,0,c,c,31830,3,2010,0,NA,NA,
438,4,11/7/13,5914,608,1,1,0,0,a,c,30360,9,2013,0,NA,NA,
55,4,1/30/14,5173,550,1,0,0,0,a,c,30360,9,2013,0,NA,NA,
1110,2,11/26/13,5206,637,1,0,0,0,a,c,30030,11,2010,0,NA,NA,
355,3,3/25/15,4623,571,1,0,0,0,a,c,30030,11,2010,0,NA,NA,
87,1,3/30/15,8421,752,1,1,0,0,a,c,30030,11,2010,0,NA,NA,
836,6,11/23/13,3727,470,1,0,0,0,a,c,30030,11,2010,0,NA,NA,
701,7,1/18/15,0,0,0,0,0,0,a,c,30030,11,2010,0,NA,NA,
910,7,6/29/14,1353,187,1,0,0,0,a,c,30030,11,2010,0,NA,NA,
505,2,8/19/14,8504,1007,1,1,0,1,a,c,29190,NA,NA,0,NA,NA,
239,2,4/2/13,6993,1042,1,0,0,1,a,c,29190,NA,NA,0,NA,NA,
312,5,12/27/13,7844,1033,1,0,0,1,a,c,29190,NA,NA,0,NA,NA,
423,6,12/28/13,5286,759,1,0,0,0,a,c,29190,NA,NA,0,NA,NA,
920,4,5/22/14,5766,828,1,1,0,0,a,c,29190,NA,NA,0,NA,NA,
401,5,5/15/15,10291,798,1,0,0,1,d,c,29070,4,2005,0,NA,NA,
651,2,1/7/14,15666,1114,1,1,0,0,d,c,29070,4,2005,0,NA,NA,
329,7,2/9/14,0,0,0,0,0,0,d,c,29070,4,2005,0,NA,NA,
340,3,1/2/13,6832,614,1,0,0,1,d,c,29070,4,2005,0,NA,NA,
177,7,9/21/14,0,0,0,0,0,0,d,c,29070,4,2005,0,NA,NA,
609,3,4/22/15,7079,583,1,0,0,0,d,c,29070,4,2005,0,NA,NA,
576,7,1/6/13,0,0,0,0,a,0,d,c,29070,4,2005,0,NA,NA,
752,3,7/29/15,2936,435,1,1,0,1,a,a,27650,8,2004,0,NA,NA,
879,6,4/26/14,1373,217,1,0,0,0,a,a,27650,8,2004,0,NA,NA,
698,7,4/21/13,0,0,0,0,0,0,a,a,27650,8,2004,0,NA,NA,
594,1,2/25/13,2148,342,1,0,0,0,a,a,27650,8,2004,0,NA,NA,
679,2,7/7/15,2282,351,1,0,0,0,a,a,27650,8,2004,0,NA,NA,
346,2,7/16/13,4568,537,1,1,0,1,a,a,27650,8,2004,0,NA,NA,
725,5,8/15/14,5008,572,1,0,0,1,a,a,27530,4,2014,0,NA,NA,
1100,6,4/5/14,1609,169,1,0,0,0,a,a,27530,4,2014,0,NA,NA,
259,2,11/19/13,9665,877,1,1,0,0,a,a,27530,4,2014,0,NA,NA,
1018,2,8/12/14,4973,585,1,0,0,1,a,a,27530,4,2014,0,NA,NA,
809,7,7/5/15,0,0,0,0,0,0,a,a,27530,4,2014,0,NA,NA,
851,6,11/8/14,2179,213,1,0,0,0,a,a,27530,4,2014,0,NA,NA,
342,4,8/22/13,4518,556,1,0,0,1,a,a,27530,4,2014,0,NA,NA,
1018,1,11/18/13,10101,874,1,1,0,0,a,a,27530,4,2014,0,NA,NA,
762,6,10/25/14,1946,205,1,0,0,0,a,a,27530,4,2014,0,NA,NA,
756,5,8/23/13,5173,540,1,0,0,1,a,a,27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
631,4,5/22/14,5619,482,1,1,0,0,a,a,27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
370,6,6/28/14,4364,418,1,0,0,0,a,a,27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
757,5,5/15/15,7235,593,1,0,0,0,a,a,27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
237,4,5/23/13,4652,654,1,0,0,0,a,a,27150,NA,NA,0,NA,NA,
773,3,12/11/13,4907,578,1,0,0,0,a,a,27150,NA,NA,0,NA,NA,
136,3,10/2/13,8073,1038,1,0,0,0,a,c,26990,12,2013,0,NA,NA,
31,2,9/16/14,8028,987,1,1,0,0,a,c,26990,12,2013,0,NA,NA,
856,7,1/27/13,1030,153,1,0,0,0,a,c,26990,12,2013,0,NA,NA,
1003,3,11/20/13,8113,923,1,1,0,0,a,c,26990,12,2013,0,NA,NA,
853,1,5/20/13,0,0,0,0,a,0,a,c,26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
404,1,8/25/14,3361,384,1,0,0,1,a,c,26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
981,2,5/20/14,3926,448,1,1,0,0,a,c,26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
947,4,5/9/13,0,0,0,0,a,0,a,a,26450,NA,NA,0,NA,NA,
111,6,7/20/13,1828,239,1,0,0,0,a,a,26450,NA,NA,0,NA,NA,
529,7,6/22/14,0,0,0,0,0,0,a,a,26450,NA,NA,0,NA,NA,
792,6,2/22/14,1724,202,1,0,0,0,a,a,26450,NA,NA,0,NA,NA,
726,7,7/26/15,0,0,0,0,0,0,a,a,26450,NA,NA,0,NA,NA,
195,7,12/29/13,0,0,0,0,0,0,a,a,26450,NA,NA,0,NA,NA,
333,3,6/4/14,8833,687,1,1,0,1,c,c,26130,11,2002,0,NA,NA,
699,7,1/27/13,0,0,0,0,0,0,a,c,25430,5,1999,1,37,2009,"Jan,Apr,Jul,Oct"
635,1,1/19/15,6791,726,1,0,0,0,a,c,25360,10,2014,0,NA,NA,
559,4,8/22/13,5711,776,1,0,0,1,a,c,25360,10,2014,0,NA,NA,
897,2,3/3/15,10598,936,1,1,0,0,a,c,25360,10,2014,0,NA,NA,
601,4,6/4/15,9485,953,1,1,a,0,a,c,25360,10,2014,0,NA,NA,
341,1,4/21/14,0,0,0,0,b,1,a,c,25360,10,2014,0,NA,NA,
714,7,2/24/13,0,0,0,0,0,0,d,a,24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
43,3,7/3/13,7886,717,1,1,0,0,d,a,24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
928,1,2/24/14,3910,420,1,0,0,0,d,a,24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
234,6,9/27/14,4933,464,1,0,0,0,d,c,24530,7,2013,0,NA,NA,
273,5,8/30/13,11659,931,1,1,0,0,d,c,24530,7,2013,0,NA,NA,
222,1,7/29/13,13765,1000,1,1,0,1,d,c,24530,7,2013,0,NA,NA,
575,5,6/12/15,8490,970,1,0,0,0,a,c,24000,4,2013,0,NA,NA,
173,6,7/4/15,6559,723,1,0,0,0,a,c,24000,4,2013,0,NA,NA,
830,7,3/8/15,0,0,0,0,0,0,a,c,24000,4,2013,0,NA,NA,
279,5,3/14/14,7964,909,1,0,0,0,a,c,24000,4,2013,0,NA,NA,
635,2,6/3/14,11509,1222,1,1,0,0,a,c,24000,4,2013,0,NA,NA,
1091,6,6/14/14,7753,962,1,0,0,0,a,c,24000,4,2013,0,NA,NA,
472,6,7/19/14,3646,378,1,0,0,0,a,c,23620,11,2013,0,NA,NA,
326,7,4/13/14,0,0,0,0,0,0,a,c,23620,11,2013,0,NA,NA,
124,5,1/4/13,9524,979,1,0,0,0,a,c,23620,11,2013,0,NA,NA,
819,1,7/22/13,8895,936,1,0,0,1,a,c,23620,11,2013,0,NA,NA,
1090,5,3/13/15,8744,930,1,0,0,0,a,c,23130,NA,NA,0,NA,NA,
606,1,12/8/14,12427,1259,1,0,0,0,a,c,23130,NA,NA,0,NA,NA,
380,1,2/10/14,9991,1209,1,0,0,1,a,c,23130,NA,NA,0,NA,NA,
514,2,9/10/13,12565,1303,1,1,0,0,a,c,23130,NA,NA,0,NA,NA,
438,5,10/11/13,9322,977,1,1,0,0,a,c,23130,NA,NA,0,NA,NA,
166,3,5/7/14,12271,1221,1,1,0,0,a,c,23130,NA,NA,0,NA,NA,
69,1,2/10/14,8053,643,1,0,0,0,d,c,22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
898,4,8/14/14,9883,805,1,0,0,1,d,c,22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
636,1,11/18/13,12967,907,1,1,0,0,d,c,22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
1001,3,9/4/13,7284,620,1,0,0,0,d,c,22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
641,5,1/16/15,11978,914,1,1,0,0,d,c,22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
227,1,4/8/13,7936,844,1,1,0,0,a,c,22490,NA,NA,0,NA,NA,
540,1,2/9/15,4752,599,1,0,0,0,a,c,22490,NA,NA,0,NA,NA,
966,2,1/22/13,0,0,0,1,0,0,a,c,22490,NA,NA,0,NA,NA,
475,5,10/3/14,0,0,0,1,a,0,a,c,22490,NA,NA,0,NA,NA,
897,5,10/18/13,4588,592,1,0,0,1,a,c,22490,NA,NA,0,NA,NA,
28,1,2/18/13,6356,657,1,1,0,0,d,c,22440,12,2013,0,NA,NA,
355,1,4/1/13,0,0,0,0,b,1,d,c,22440,12,2013,0,NA,NA,
571,3,1/28/15,5389,548,1,1,0,0,d,c,22440,12,2013,0,NA,NA,
576,2,3/31/15,8031,687,1,1,0,0,d,c,22440,12,2013,0,NA,NA,
993,4,12/18/14,9034,802,1,1,0,0,d,c,22440,12,2013,0,NA,NA,
969,1,4/13/15,7459,727,1,1,0,1,d,c,22440,12,2013,0,NA,NA,
156,1,5/6/13,5461,618,1,0,0,0,d,c,22440,12,2013,0,NA,NA,
486,2,1/7/14,5267,586,1,1,0,0,d,c,22440,12,2013,0,NA,NA,
331,2,2/3/15,10371,913,1,1,0,0,a,a,22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
273,5,2/14/14,8450,909,1,0,0,0,a,a,22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
302,5,4/4/14,11359,962,1,1,0,0,a,a,22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
677,4,6/6/13,9301,891,1,1,0,0,a,a,22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct"
363,7,6/16/13,0,0,0,0,0,0,a,c,22350,6,2010,0,NA,NA,
325,5,4/25/14,4250,528,1,0,0,1,a,c,22350,6,2010,0,NA,NA,
179,7,10/5/14,0,0,0,0,0,0,d,c,22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov"
422,3,4/16/14,12805,1002,1,1,0,1,d,c,22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov"
169,4,2/20/14,11126,818,1,1,0,0,d,c,22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov"
1044,6,1/5/13,9640,765,1,0,0,0,d,c,22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov"
123,7,8/10/14,0,0,0,0,0,0,d,a,21930,NA,NA,0,NA,NA,
35,4,3/7/13,7973,724,1,1,0,0,d,a,21930,NA,NA,0,NA,NA,
752,5,1/3/14,7138,689,1,0,0,1,d,a,21930,NA,NA,0,NA,NA,
865,2,1/22/13,4245,351,1,1,0,0,d,c,21810,9,2012,0,NA,NA,
284,7,9/28/14,1498,160,1,0,0,0,d,c,21810,9,2012,0,NA,NA,
770,2,7/21/15,4279,423,1,0,0,1,d,c,21810,9,2012,0,NA,NA,
630,2,12/10/13,4265,408,1,0,0,0,d,c,21810,9,2012,0,NA,NA,
436,5,9/12/14,4238,430,1,0,0,0,d,c,21810,9,2012,0,NA,NA,
494,1,3/30/15,15426,1286,1,1,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
519,3,4/2/14,10710,1102,1,1,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
293,7,11/24/13,0,0,0,0,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
263,3,7/16/14,11683,1176,1,1,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
155,4,10/23/14,10938,1311,1,1,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
819,6,3/22/14,2829,288,1,0,0,0,a,a,21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
753,1,6/23/14,6589,678,1,0,0,0,c,a,21770,7,2015,0,NA,NA,
115,6,5/4/13,7573,777,1,0,0,0,c,a,21770,7,2015,0,NA,NA,
697,2,3/10/15,5454,572,1,0,0,0,c,a,21770,7,2015,0,NA,NA,
298,1,4/1/13,0,0,0,0,b,1,c,a,21770,7,2015,0,NA,NA,
967,3,1/15/14,6673,822,1,0,0,0,a,c,21370,11,2010,0,NA,NA,
449,6,1/12/13,5387,647,1,0,0,0,a,c,21370,11,2010,0,NA,NA,
1029,4,10/10/13,7529,914,1,1,0,1,a,c,21370,11,2010,0,NA,NA,
244,4,1/23/14,7542,870,1,1,0,0,a,c,21370,11,2010,0,NA,NA,
532,6,6/15/13,6238,843,1,0,0,0,a,c,21370,11,2010,0,NA,NA,
348,7,6/23/13,2185,287,1,0,0,0,a,c,21370,11,2010,0,NA,NA,
141,7,1/6/13,0,0,0,0,0,0,c,a,20970,11,2012,0,NA,NA,
921,7,7/27/14,0,0,0,0,0,0,c,a,20970,11,2012,0,NA,NA,
516,3,1/8/14,9734,935,1,1,0,0,c,a,20970,11,2012,0,NA,NA,
458,2,5/19/15,7608,800,1,1,0,0,c,a,20970,11,2012,0,NA,NA,
120,2,11/4/14,12026,1126,1,1,0,0,c,a,20970,11,2012,0,NA,NA,
767,2,9/17/13,5671,721,1,0,0,0,c,a,20970,11,2012,0,NA,NA,
484,2,2/5/13,10346,983,1,1,0,0,c,a,20970,11,2012,0,NA,NA,
358,1,3/11/13,7310,702,1,0,0,0,d,c,20930,11,1999,0,NA,NA,
330,4,5/22/14,5639,523,1,1,0,0,d,a,20930,NA,NA,0,NA,NA,
1105,5,6/13/14,5854,587,1,0,0,1,d,c,20930,11,1999,0,NA,NA,
603,6,10/26/13,8218,820,1,0,0,0,d,c,20930,11,1999,0,NA,NA,
781,1,2/18/13,9667,774,1,1,0,0,d,a,20930,NA,NA,0,NA,NA,
1037,7,4/5/15,0,0,0,0,0,0,d,c,20930,11,1999,0,NA,NA,
908,1,2/9/15,4792,533,1,0,0,0,d,c,20930,11,1999,0,NA,NA,
69,7,10/27/13,0,0,0,0,0,0,a,a,20640,9,2007,0,NA,NA,
1014,4,5/30/13,0,0,0,1,a,1,a,a,20640,9,2007,0,NA,NA,
56,7,2/16/14,0,0,0,0,0,0,a,a,20640,9,2007,0,NA,NA,
605,3,3/18/15,7216,694,1,1,0,0,a,a,20640,9,2007,0,NA,NA,
94,1,6/9/14,0,0,0,0,a,0,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
349,6,3/22/14,8246,807,1,0,0,0,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
308,1,12/8/14,9594,918,1,0,0,0,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
344,6,8/9/14,8190,788,1,0,0,0,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
878,1,2/16/15,12249,936,1,1,0,0,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
648,2,12/24/13,6631,720,1,0,0,1,a,c,20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
816,3,10/16/13,10556,1402,1,0,0,0,a,c,20390,4,2008,0,NA,NA,
368,1,10/21/13,9449,872,1,1,0,1,a,a,20390,NA,NA,0,NA,NA,
585,6,2/16/13,13008,1666,1,0,0,0,a,c,20390,4,2008,0,NA,NA,
565,5,9/20/13,9849,1344,1,0,0,0,a,c,20390,4,2008,0,NA,NA,
632,4,2/14/13,5807,681,1,0,0,0,a,a,20390,NA,NA,0,NA,NA,
156,6,4/4/15,8592,902,1,0,0,0,a,a,20390,NA,NA,0,NA,NA,
662,1,1/7/13,17383,1850,1,1,0,0,a,c,20390,4,2008,0,NA,NA,
153,3,7/17/13,14780,1726,1,1,0,0,a,c,20390,4,2008,0,NA,NA,
889,1,2/11/13,3918,522,1,0,0,0,a,c,20390,4,2008,0,NA,NA,
822,7,4/21/13,0,0,0,0,0,0,a,a,20390,NA,NA,0,NA,NA,
257,3,9/4/13,4204,539,1,0,0,0,a,a,20390,NA,NA,0,NA,NA,
929,2,4/16/13,4583,515,1,0,0,0,a,a,20390,NA,NA,0,NA,NA,
550,3,10/30/13,4444,389,1,0,0,1,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
792,5,11/14/14,6157,529,1,1,0,0,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
1085,3,9/4/13,3867,341,1,0,0,0,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
329,4,11/14/13,4494,408,1,0,0,0,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
788,2,12/24/13,4654,405,1,0,0,1,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
875,2,11/12/13,3587,330,1,0,0,0,d,a,20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec"
951,7,3/9/14,0,0,0,0,0,0,a,a,20050,4,2002,0,NA,NA,
640,2,8/13/13,8320,949,1,1,0,1,a,a,20050,4,2002,0,NA,NA,
1003,2,5/26/15,6415,828,1,0,0,0,a,a,20050,4,2002,0,NA,NA,
327,6,4/13/13,2344,326,1,0,0,0,a,a,20050,4,2002,0,NA,NA,
213,5,6/5/15,6387,802,1,1,0,0,a,a,20050,4,2002,0,NA,NA,
159,1,1/14/13,4788,694,1,0,0,0,a,a,20050,4,2002,0,NA,NA,
268,4,3/5/15,8290,861,1,1,0,0,d,c,19960,3,2006,0,NA,NA,
1113,4,9/5/13,6967,828,1,0,0,1,d,c,19960,3,2006,0,NA,NA,
79,2,11/12/13,6556,738,1,0,0,0,d,c,19960,3,2006,0,NA,NA,
292,5,6/26/15,7327,833,1,0,0,0,d,c,19960,3,2006,0,NA,NA,
377,2,2/4/14,8255,625,1,1,0,0,d,a,19840,7,2009,0,NA,NA,
278,2,4/22/14,7393,649,1,0,0,1,d,a,19840,7,2009,0,NA,NA,
1078,7,2/3/13,0,0,0,0,0,0,d,a,19840,7,2009,0,NA,NA,
883,6,4/20/13,7895,698,1,0,0,0,d,a,19840,7,2009,0,NA,NA,
868,5,12/27/13,8701,796,1,0,0,1,d,a,19840,7,2009,0,NA,NA,
1014,4,1/29/15,8127,628,1,1,0,0,d,a,19840,7,2009,0,NA,NA,
317,2,6/11/13,4770,591,1,0,0,0,a,a,19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
84,1,8/25/14,4594,510,1,0,0,1,a,a,19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
702,6,2/16/13,2436,250,1,0,0,0,a,a,19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
485,6,4/6/13,2058,228,1,0,0,0,a,a,19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
538,6,5/2/15,4418,484,1,0,0,0,a,c,19780,6,2008,0,NA,NA,
328,5,5/10/13,6674,959,1,0,0,0,a,c,19780,6,2008,0,NA,NA,
182,7,4/13/14,0,0,0,0,0,0,a,c,19780,6,2008,0,NA,NA,
635,4,1/2/14,5046,678,1,0,0,1,a,c,19780,6,2008,0,NA,NA,
375,4,9/26/13,7131,557,1,1,0,0,d,a,19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
314,6,1/5/13,5345,478,1,0,0,1,d,a,19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
271,1,2/18/13,11029,790,1,1,0,0,d,a,19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
1046,1,3/18/13,10595,802,1,1,0,0,d,a,19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
